event_type,event_type_slug,instrumented_commit,instrumented_pr,instrumented_date,instrumented_author_email,retired_commit,retired_pr,retired_date,retired_author_email,last_code_change_date,call_site_count,call_site_retired_date,updated_at
Briefing Assistant - Download Clicked,briefing_assistant_download_clicked,ac4612dcdd10e768290c04d2f3c5f9511b9d64ad,https://github.com/thegoodparty/omni/pull/1892,2026-05-28,swain.molster@gmail.com,,,,,2026-05-28,,,2026-06-30T20:12:33
Briefing Assistant - Feedback Completed,briefing_assistant_feedback_completed,ac4612dcdd10e768290c04d2f3c5f9511b9d64ad,https://github.com/thegoodparty/omni/pull/1892,2026-05-28,swain.molster@gmail.com,,,,,2026-05-28,,,2026-06-30T20:12:33
Briefing Assistant - List Viewed,briefing_assistant_list_viewed,ac4612dcdd10e768290c04d2f3c5f9511b9d64ad,https://github.com/thegoodparty/omni/pull/1892,2026-05-28,swain.molster@gmail.com,,,,,2026-05-28,,,2026-06-30T20:12:33
Briefing Assistant - Share Completed,briefing_assistant_share_completed,ac4612dcdd10e768290c04d2f3c5f9511b9d64ad,https://github.com/thegoodparty/omni/pull/1892,2026-05-28,swain.molster@gmail.com,,,,,2026-05-28,,,2026-06-30T20:12:33
Briefing Assistant - Share Drawer Opened,briefing_assistant_share_drawer_opened,ac4612dcdd10e768290c04d2f3c5f9511b9d64ad,https://github.com/thegoodparty/omni/pull/1892,2026-05-28,swain.molster@gmail.com,,,,,2026-05-28,,,2026-06-30T20:12:33
Briefing Assistant - Sources Expanded,briefing_assistant_sources_expanded,ac4612dcdd10e768290c04d2f3c5f9511b9d64ad,https://github.com/thegoodparty/omni/pull/1892,2026-05-28,swain.molster@gmail.com,,,,,2026-05-28,,,2026-06-30T20:12:33
Briefing Assistant - TOC Item Clicked,briefing_assistant_toc_item_clicked,ac4612dcdd10e768290c04d2f3c5f9511b9d64ad,https://github.com/thegoodparty/omni/pull/1892,2026-05-28,swain.molster@gmail.com,,,,,2026-05-28,,,2026-06-30T20:12:33
Briefings - Briefing Viewed,briefings_briefing_viewed,78fc2e5a4d266437bd11d674cc5a10c5c841a44d,https://github.com/thegoodparty/omni/pull/1683,2026-04-09,stephtea@users.noreply.github.com,ac4612dcdd10e768290c04d2f3c5f9511b9d64ad,https://github.com/thegoodparty/omni/pull/1892,2026-05-28,swain.molster@gmail.com,2026-05-28,,,2026-06-30T20:12:33
Briefings - Click Download,briefings_click_download,78fc2e5a4d266437bd11d674cc5a10c5c841a44d,https://github.com/thegoodparty/omni/pull/1683,2026-04-09,stephtea@users.noreply.github.com,ac4612dcdd10e768290c04d2f3c5f9511b9d64ad,https://github.com/thegoodparty/omni/pull/1892,2026-05-28,swain.molster@gmail.com,2026-05-28,,,2026-06-30T20:12:33
Briefings - Click Read Full Briefing,briefings_click_read_full_briefing,78fc2e5a4d266437bd11d674cc5a10c5c841a44d,https://github.com/thegoodparty/omni/pull/1683,2026-04-09,stephtea@users.noreply.github.com,ac4612dcdd10e768290c04d2f3c5f9511b9d64ad,https://github.com/thegoodparty/omni/pull/1892,2026-05-28,swain.molster@gmail.com,2026-05-28,,,2026-06-30T20:12:33
Briefings - Feedback: Helpful,briefings_feedback_helpful,78fc2e5a4d266437bd11d674cc5a10c5c841a44d,https://github.com/thegoodparty/omni/pull/1683,2026-04-09,stephtea@users.noreply.github.com,ac4612dcdd10e768290c04d2f3c5f9511b9d64ad,https://github.com/thegoodparty/omni/pull/1892,2026-05-28,swain.molster@gmail.com,2026-05-28,,,2026-06-30T20:12:33
Briefings - Feedback: Not Helpful,briefings_feedback_not_helpful,78fc2e5a4d266437bd11d674cc5a10c5c841a44d,https://github.com/thegoodparty/omni/pull/1683,2026-04-09,stephtea@users.noreply.github.com,ac4612dcdd10e768290c04d2f3c5f9511b9d64ad,https://github.com/thegoodparty/omni/pull/1892,2026-05-28,swain.molster@gmail.com,2026-05-28,,,2026-06-30T20:12:33
Briefings - Issue Detail Viewed,briefings_issue_detail_viewed,78fc2e5a4d266437bd11d674cc5a10c5c841a44d,https://github.com/thegoodparty/omni/pull/1683,2026-04-09,stephtea@users.noreply.github.com,ac4612dcdd10e768290c04d2f3c5f9511b9d64ad,https://github.com/thegoodparty/omni/pull/1892,2026-05-28,swain.molster@gmail.com,2026-05-28,,,2026-06-30T20:12:33
Campaign - Follow-On Blocked,campaign_follow_on_blocked,d55fa245190deb34c93bd32b863b7c776bbff190,https://github.com/thegoodparty/omni/pull/152,2026-06-15,admin@velocinator.com,,,,,2026-06-15,,,2026-06-30T20:12:33
Campaign - Follow-On Created,campaign_follow_on_created,d55fa245190deb34c93bd32b863b7c776bbff190,https://github.com/thegoodparty/omni/pull/152,2026-06-15,admin@velocinator.com,,,,,2026-06-15,,,2026-06-30T20:12:33
Campaign Plan - Weekly Tasks Digest,campaign_plan_weekly_tasks_digest,61d552cc6974dfbb0696f8aad51563686e07e814,https://github.com/thegoodparty/omni/pull/1472,2026-04-21,6290668+feliksalbright@users.noreply.github.com,,,,,2026-04-21,,,2026-06-30T20:12:33
Campaign Plan V2 - Community Events Generation Completed,campaign_plan_v2_community_events_generation_completed,e1baf36df65d4f548f05b1ce39753ac57f886b57,https://github.com/thegoodparty/omni/pull/1774,2026-06-08,6290668+feliksalbright@users.noreply.github.com,,,,,2026-06-08,,,2026-06-30T20:12:33
Campaign Plan V2 - Community Events Generation Started,campaign_plan_v2_community_events_generation_started,e1baf36df65d4f548f05b1ce39753ac57f886b57,https://github.com/thegoodparty/omni/pull/1774,2026-06-08,6290668+feliksalbright@users.noreply.github.com,,,,,2026-06-08,,,2026-06-30T20:12:33
Campaign Plan V2 - Media Generation Completed,campaign_plan_v2_media_generation_completed,e1baf36df65d4f548f05b1ce39753ac57f886b57,https://github.com/thegoodparty/omni/pull/1774,2026-06-08,6290668+feliksalbright@users.noreply.github.com,,,,,2026-06-08,,,2026-06-30T20:12:33
Campaign Plan V2 - Media Generation Started,campaign_plan_v2_media_generation_started,e1baf36df65d4f548f05b1ce39753ac57f886b57,https://github.com/thegoodparty/omni/pull/1774,2026-06-08,6290668+feliksalbright@users.noreply.github.com,,,,,2026-06-08,,,2026-06-30T20:12:33
Campaign Plan V2 - Opportunities & Challenges Generation Completed,campaign_plan_v2_opportunities_challenges_generation_completed,e1baf36df65d4f548f05b1ce39753ac57f886b57,https://github.com/thegoodparty/omni/pull/1774,2026-06-08,6290668+feliksalbright@users.noreply.github.com,,,,,2026-06-08,,,2026-06-30T20:12:33
Campaign Plan V2 - Opportunities & Challenges Generation Started,campaign_plan_v2_opportunities_challenges_generation_started,e1baf36df65d4f548f05b1ce39753ac57f886b57,https://github.com/thegoodparty/omni/pull/1774,2026-06-08,6290668+feliksalbright@users.noreply.github.com,,,,,2026-06-08,,,2026-06-30T20:12:33
Campaign Plan V2 - Opposition Research Generation Completed,campaign_plan_v2_opposition_research_generation_completed,e1baf36df65d4f548f05b1ce39753ac57f886b57,https://github.com/thegoodparty/omni/pull/1774,2026-06-08,6290668+feliksalbright@users.noreply.github.com,,,,,2026-06-08,,,2026-06-30T20:12:33
Campaign Plan V2 - Opposition Research Generation Started,campaign_plan_v2_opposition_research_generation_started,e1baf36df65d4f548f05b1ce39753ac57f886b57,https://github.com/thegoodparty/omni/pull/1774,2026-06-08,6290668+feliksalbright@users.noreply.github.com,,,,,2026-06-08,,,2026-06-30T20:12:33
Campaign Plan V2 - Strategy Race Changed,campaign_plan_v2_strategy_race_changed,f920787b11cffc31ae84b70f9b148a89f9431466,https://github.com/thegoodparty/omni/pull/104,2026-06-12,6290668+feliksalbright@users.noreply.github.com,,,,,2026-06-12,,,2026-06-30T20:12:33
Campaign Story - Rewrite Accepted,campaign_story_rewrite_accepted,3cc0a94448eed49c31647c436402f1f160113182,https://github.com/thegoodparty/omni/pull/233,2026-06-18,6290668+feliksalbright@users.noreply.github.com,,,,,2026-06-18,1,,2026-06-30T20:12:33
Campaign Story - Rewrite Discarded,campaign_story_rewrite_discarded,3cc0a94448eed49c31647c436402f1f160113182,https://github.com/thegoodparty/omni/pull/233,2026-06-18,6290668+feliksalbright@users.noreply.github.com,,,,,2026-06-18,1,,2026-06-30T20:12:33
Campaign Story - Rewrite Requested,campaign_story_rewrite_requested,3cc0a94448eed49c31647c436402f1f160113182,https://github.com/thegoodparty/omni/pull/233,2026-06-18,6290668+feliksalbright@users.noreply.github.com,,,,,2026-06-18,1,,2026-06-30T20:12:33
Campaign Verify Token Status Update,campaign_verify_token_status_update,362c9b448065c166e4f742836d508cafc825054b,https://github.com/thegoodparty/omni/pull/593,2025-10-07,lurchbulldog@gmail.com,,,,,2025-10-07,,,2026-06-30T20:12:33
Candidacy - Campaign Completed,candidacy_campaign_completed,a91befe9f1d10ad7c1319b0066b2f2a8035d8d70,https://github.com/thegoodparty/omni/pull/920,2025-09-17,145415012+oakinh@users.noreply.github.com,,,,,2025-09-17,,,2026-06-30T20:12:33
Candidacy - Debrief Clicked,candidacy_debrief_clicked,3ca192ba46e2cb82bcf8e84ee0ebce7fe856793a,https://github.com/thegoodparty/omni/pull/171,2026-06-16,tristan@goodparty.org,,,,,2026-06-16,,,2026-06-30T20:12:33
Candidacy - Did You Win Modal Completed,candidacy_did_you_win_modal_completed,20a7ac0f8561471fa493aab7be2b3a8cd0c014de,https://github.com/thegoodparty/omni/pull/1103,2025-10-30,stephtea@users.noreply.github.com,,,,,2025-10-30,,,2026-06-30T20:12:33
Candidacy - Did You Win Modal Viewed,candidacy_did_you_win_modal_viewed,20a7ac0f8561471fa493aab7be2b3a8cd0c014de,https://github.com/thegoodparty/omni/pull/1103,2025-10-30,stephtea@users.noreply.github.com,,,,,2025-10-30,,,2026-06-30T20:12:33
Candidate Website - Continued,candidate_website_continued,b036da272037bd58ede583cfe854a0fa515b20d0,https://github.com/thegoodparty/omni/pull/788,2025-07-24,collin@goodparty.org,,,,,2025-07-24,,,2026-06-30T20:12:33
Candidate Website - Edited,candidate_website_edited,b036da272037bd58ede583cfe854a0fa515b20d0,https://github.com/thegoodparty/omni/pull/788,2025-07-24,collin@goodparty.org,,,,,2025-07-24,,,2026-06-30T20:12:33
Candidate Website - Published,candidate_website_published,b036da272037bd58ede583cfe854a0fa515b20d0,https://github.com/thegoodparty/omni/pull/788,2025-07-24,collin@goodparty.org,,,,,2026-03-09,,,2026-06-30T20:12:33
Candidate Website - Purchased domain,candidate_website_purchased_domain,b036da272037bd58ede583cfe854a0fa515b20d0,https://github.com/thegoodparty/omni/pull/788,2025-07-24,collin@goodparty.org,,,,,2026-03-09,,,2026-06-30T20:12:33
Candidate Website - Selected domain,candidate_website_selected_domain,b036da272037bd58ede583cfe854a0fa515b20d0,https://github.com/thegoodparty/omni/pull/788,2025-07-24,collin@goodparty.org,,,,,2025-07-24,,,2026-06-30T20:12:33
Candidate Website - Started,candidate_website_started,b036da272037bd58ede583cfe854a0fa515b20d0,https://github.com/thegoodparty/omni/pull/788,2025-07-24,collin@goodparty.org,,,,,2025-07-24,,,2026-06-30T20:12:33
Candidate Website - Started domain selection,candidate_website_started_domain_selection,b036da272037bd58ede583cfe854a0fa515b20d0,https://github.com/thegoodparty/omni/pull/788,2025-07-24,collin@goodparty.org,,,,,2025-07-24,,,2026-06-30T20:12:33
Candidate Website - Unpublished,candidate_website_unpublished,b036da272037bd58ede583cfe854a0fa515b20d0,https://github.com/thegoodparty/omni/pull/788,2025-07-24,collin@goodparty.org,,,,,2025-07-24,,,2026-06-30T20:12:33
Click to Call CTA Clicked,click_to_call_cta_clicked,,,,,,,,,,,,2026-06-30T20:12:33
Click to Call CTA Viewed,click_to_call_cta_viewed,,,,,,,,,,,,2026-06-30T20:12:33
Click to Call Phone Submitted,click_to_call_phone_submitted,,,,,,,,,,,,2026-06-30T20:12:33
Community Issues - Ask AI Started,community_issues_ask_ai_started,f59a02ee308f8df11272dbd06c5e519b14abf96f,https://github.com/thegoodparty/omni/pull/246,2026-06-19,swain.molster@gmail.com,,,,,2026-06-19,,,2026-07-20T11:56:25
Community Issues - Dispatch Skipped,community_issues_dispatch_skipped,,https://github.com/thegoodparty/omni/pull/701,2026-07-09,,,,,,2026-07-09,,,2026-07-09T18:55:55
Community Issues - High Priority Trending Issue Created,community_issues_high_priority_trending_issue_created,72a6348fc00493349b99d1df29f7edecb15a2ee8,https://github.com/thegoodparty/omni/pull/437,2026-06-26,swain.molster@gmail.com,47455a15fbf378bcdf9dd9712ee727e6f9f9acf3,https://github.com/thegoodparty/omni/pull/745,2026-07-14,swain.molster@gmail.com,2026-07-14,,,2026-07-20T11:56:25
Community Issues - Initial Issues Generated,community_issues_initial_issues_generated,72a6348fc00493349b99d1df29f7edecb15a2ee8,https://github.com/thegoodparty/omni/pull/437,2026-06-26,swain.molster@gmail.com,,,,,2026-06-26,,,2026-06-30T20:12:33
Community Issues - Issue Detail Viewed,community_issues_issue_detail_viewed,f59a02ee308f8df11272dbd06c5e519b14abf96f,https://github.com/thegoodparty/omni/pull/246,2026-06-19,swain.molster@gmail.com,,,,,2026-06-19,,,2026-06-30T20:12:33
Community Issues - List Viewed,community_issues_list_viewed,f59a02ee308f8df11272dbd06c5e519b14abf96f,https://github.com/thegoodparty/omni/pull/246,2026-06-19,swain.molster@gmail.com,,,,,2026-06-19,,,2026-06-30T20:12:33
Community Issues - Prioritize Clicked,community_issues_prioritize_clicked,f59a02ee308f8df11272dbd06c5e519b14abf96f,https://github.com/thegoodparty/omni/pull/246,2026-06-19,swain.molster@gmail.com,,,,,2026-06-19,,,2026-07-13T21:45:27
Community Issues - Run Poll Clicked,community_issues_run_poll_clicked,f59a02ee308f8df11272dbd06c5e519b14abf96f,https://github.com/thegoodparty/omni/pull/246,2026-06-19,swain.molster@gmail.com,,,,,2026-06-19,,,2026-07-13T17:19:23
Community Issues - Top Issue Priority Changed,community_issues_top_issue_priority_changed,385db53a32df1b84b585bf39db3d83fe29fdd25a,https://github.com/thegoodparty/omni/pull/437,2026-06-26,swain.molster@gmail.com,47455a15fbf378bcdf9dd9712ee727e6f9f9acf3,https://github.com/thegoodparty/omni/pull/745,2026-07-14,swain.molster@gmail.com,2026-07-14,,,2026-07-20T11:56:25
Community Issues - Top Issues Dispatch Skipped,community_issues_top_issues_dispatch_skipped,47455a15fbf378bcdf9dd9712ee727e6f9f9acf3,https://github.com/thegoodparty/omni/pull/745,2026-07-14,swain.molster@gmail.com,,,,,2026-07-14,,,2026-07-20T11:56:25
Community Issues - Top Issues Refreshed,community_issues_top_issues_refreshed,47455a15fbf378bcdf9dd9712ee727e6f9f9acf3,https://github.com/thegoodparty/omni/pull/745,2026-07-14,swain.molster@gmail.com,,,,,2026-07-14,,,2026-07-20T11:56:25
Community Issues - Trending Issues Dispatch Skipped,community_issues_trending_issues_dispatch_skipped,47455a15fbf378bcdf9dd9712ee727e6f9f9acf3,https://github.com/thegoodparty/omni/pull/745,2026-07-14,swain.molster@gmail.com,,,,,2026-07-14,,,2026-07-20T11:56:25
Community Issues - Trending Issues Refreshed,community_issues_trending_issues_refreshed,47455a15fbf378bcdf9dd9712ee727e6f9f9acf3,https://github.com/thegoodparty/omni/pull/745,2026-07-14,swain.molster@gmail.com,,,,,2026-07-14,,,2026-07-20T11:56:25
Constituent Data - Activity List Created,constituent_data_activity_list_created,a0eb41932492f5c96a88f169f5552cfe1591ed17,https://github.com/thegoodparty/omni/pull/852,2026-07-17,tomer@goodparty.org,,,,,2026-07-17,1,,2026-07-20T11:56:25
Constituent Data - Contact Logged,constituent_data_contact_logged,4caf631aca9e57004c99b5a818c947ab537b2abf,,2026-07-17,tomer@goodparty.org,f4ae7ce7580d4c89803f9be1cd0a8904a48c91bf,,2026-07-17,tomer@goodparty.org,2026-07-17,,,2026-07-20T11:56:25
Constituent Data - Contact Searched,constituent_data_contact_searched,,,2026-07-16,,,,,,2026-07-16,1,,2026-07-16T14:17:19
Constituent Data - Contact Viewed,constituent_data_contact_viewed,4caf631aca9e57004c99b5a818c947ab537b2abf,,2026-07-17,tomer@goodparty.org,,,,,2026-07-17,1,,2026-07-20T11:56:25
Constituent Data - List Created,constituent_data_list_created,a0eb41932492f5c96a88f169f5552cfe1591ed17,https://github.com/thegoodparty/omni/pull/852,2026-07-17,tomer@goodparty.org,,,,,2026-07-17,1,,2026-07-20T11:56:25
Constituent Data - List Exported,constituent_data_list_exported,a0eb41932492f5c96a88f169f5552cfe1591ed17,https://github.com/thegoodparty/omni/pull/852,2026-07-17,tomer@goodparty.org,,,,,2026-07-17,1,,2026-07-20T11:56:25
Constituent Data - Note Added,constituent_data_note_added,54343bfe5bc2c22bd5db8f7faaa98208d7c8017f,,2026-07-16,tomer@goodparty.org,,,,,2026-07-16,1,,2026-07-20T11:56:25
Contacts - Assistant Chat Opened,contacts_assistant_chat_opened,07933cd077828e68440067f9dadf5dd5c668390d,https://github.com/thegoodparty/omni/pull/959,2026-07-22,tomer@goodparty.org,,,,,2026-07-22,1,,2026-07-27T12:04:25
Contacts - Assistant Message Sent,contacts_assistant_message_sent,07933cd077828e68440067f9dadf5dd5c668390d,https://github.com/thegoodparty/omni/pull/959,2026-07-22,tomer@goodparty.org,,,,,2026-07-22,1,,2026-07-27T12:04:25
Contacts - Column Edited,contacts_column_edited,e54c02097e3c70880d05b8a7479f7889f87cdd99,https://github.com/thegoodparty/omni/pull/958,2025-09-14,tomer@goodparty.org,58821b65733bc3b6da57c261c7602ee7e8f1c6e5,https://github.com/thegoodparty/omni/pull/732,2026-07-13,tristan@goodparty.org,2026-07-13,,,2026-07-13T21:45:27
Contacts - Contacts Viewed,contacts_contacts_viewed,89f97d0c41382d4c48e72db3ffe591be4694d12a,https://github.com/thegoodparty/omni/pull/194,2026-06-17,52380560+tomer-tgp@users.noreply.github.com,,,,,2026-07-22,2,,2026-07-27T12:04:25
Contacts - Download,contacts_download,e54c02097e3c70880d05b8a7479f7889f87cdd99,https://github.com/thegoodparty/omni/pull/958,2025-09-14,tomer@goodparty.org,,,,,2025-09-14,1,,2026-06-30T20:12:33
Contacts - List Wizard Conditions Completed,contacts_list_wizard_conditions_completed,07933cd077828e68440067f9dadf5dd5c668390d,https://github.com/thegoodparty/omni/pull/959,2026-07-22,tomer@goodparty.org,,,,,2026-07-22,1,,2026-07-27T12:04:25
Contacts - List Wizard Conditions Viewed,contacts_list_wizard_conditions_viewed,07933cd077828e68440067f9dadf5dd5c668390d,https://github.com/thegoodparty/omni/pull/959,2026-07-22,tomer@goodparty.org,,,,,2026-07-22,1,,2026-07-27T12:04:25
Contacts - List Wizard Method Completed,contacts_list_wizard_method_completed,07933cd077828e68440067f9dadf5dd5c668390d,https://github.com/thegoodparty/omni/pull/959,2026-07-22,tomer@goodparty.org,,,,,2026-07-22,1,,2026-07-27T12:04:25
Contacts - List Wizard Method Viewed,contacts_list_wizard_method_viewed,07933cd077828e68440067f9dadf5dd5c668390d,https://github.com/thegoodparty/omni/pull/959,2026-07-22,tomer@goodparty.org,,,,,2026-07-22,1,,2026-07-27T12:04:25
Contacts - List Wizard Name Completed,contacts_list_wizard_name_completed,07933cd077828e68440067f9dadf5dd5c668390d,https://github.com/thegoodparty/omni/pull/959,2026-07-22,tomer@goodparty.org,,,,,2026-07-22,1,,2026-07-27T12:04:25
